"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1976799848851816921","Fri Oct 10 23:59:45 +0000 2025","0"," Dari dapur sekolah yang bersih hingga menu bergizi yang tersaji MBG mengajarkan anak-anak arti hidup sehat sejak dini. Bukan hanya mengenyangkan tapi juga membentuk kebiasaan makan bergizi untuk masa depan yang lebih baik https://t.co/2T5Ruy5HGg","1976799848851816921","https://pbs.twimg.com/ext_tw_video_thumb/1976799806468300800/pu/img/NIWbS5WeSEWrQwMD.jpg","","in","","0","0","0","https://x.com/undefined/status/1976799848851816921","1475146652616826880",
"1976799231697711174","Fri Oct 10 23:57:18 +0000 2025","0"," MBG hadir untuk melindungi generasi muda dari ancaman stunting. Dengan menu seimbang dan pengawasan gizi yang ketat setiap anak Indonesia berhak tumbuh sehat kuat dan cerdas https://t.co/P8jBFq9hPx","1976799231697711174","https://pbs.twimg.com/ext_tw_video_thumb/1976799191172366337/pu/img/wEZY2ck1rp1XQT7S.jpg","","in","","0","0","0","https://x.com/undefined/status/1976799231697711174","1475140869825073152",
"1976794989478003069","Fri Oct 10 23:57:00 +0000 2025","1","@salam4jari @MBG_Watch Ada Indonesia https://t.co/LT4LiHo4IR","1976799154530926951","","salam4jari","in","","0","1","0","https://x.com/undefined/status/1976799154530926951","1264805908829224967",
"1976598141563740603","Fri Oct 10 23:56:41 +0000 2025","0","@CNNIndonesia Ini pemerintah gak ada niatan untuk investigasi ke BGN kah agar mereka pada berbenah? APBN Indonesia banyak lho yg dikurangin untuk proyek MBG ini","1976799077821214824","","CNNIndonesia","in","","0","0","0","https://x.com/undefined/status/1976799077821214824","730603485134127104",
"1976626267144245610","Fri Oct 10 23:55:21 +0000 2025","0","@tempodotco Trus dikasi ke MBG??? ","1976798742344089642","","tempodotco","in","","0","0","0","https://x.com/undefined/status/1976798742344089642","1758470098623553538",
"1976798656339870103","Fri Oct 10 23:55:01 +0000 2025","2","Anak-anak di SD Negeri Dukuh Tabalong masih menunggu giliran menikmati Menu Bergizi Gratis (MBG). Semoga segera tiba agar senyum dan semangat mereka tak kalah dari teman-teman di daerah lain.... #MBG #Makanbergizigratis #sstvi #BamBam #NobelPeacePrize #GenshinImpact https://t.co/TNkNntU3li","1976798656339870103","https://pbs.twimg.com/media/G27_5sZa8AA4rMv.jpg","","in","","0","0","0","https://x.com/undefined/status/1976798656339870103","1401788926369538050",
"1976798582541107488","Fri Oct 10 23:54:43 +0000 2025","0","China Jepang Brasil dan Kanada telah lebih dulu menyiapkan piring terbaik bagi generasi mudanya. Kini giliran kita. MBG bukan sekadar program makan ia adalah cermin kasih negara kepada anak-anaknya dan investasi gizi untuk anak Indonesia menjadi generasi emas 2045. #MBG https://t.co/G2tbcTfcl6","1976798582541107488","https://pbs.twimg.com/media/G27_1YGacAAFhwR.jpg","","in","","0","0","0","https://x.com/undefined/status/1976798582541107488","1712726641515151360",
"1976667277052576110","Fri Oct 10 23:54:39 +0000 2025","1","@ainunnajib Negara memberi kebutuhan pokok semua siswa kemudian direduksi jadi MBG ini titik abnormalnya. Karena klo siswa itu anak orang kaya negara justru beri subsidi pada orang kaya. Harusnya spesifik khusus siswa dari keluarga miskin. Lbh baik lagi bila kemiskinannya yg dihilangkan.","1976798563020808561","","ainunnajib","in","","0","0","0","https://x.com/undefined/status/1976798563020808561","53009638",
"1976798101433389475","Fri Oct 10 23:52:49 +0000 2025","0","Siswa SD Negeri Dukuh Desa Banyu Tajun Tabalong - Kalsel hingga kini belum menerima program MBG yg dilaksanakan pemerintah Pdhl para siswa sngt mengharapkan Pemberian MBG yang belum merata bagi siswa SD ini diduga karena SPPG di Kabupaten Tabalong belum aktif semua. https://t.co/84KYPeGipj","1976798101433389475","https://pbs.twimg.com/media/G27_ZXgbwAIo76z.jpg","","in","","0","0","1","https://x.com/undefined/status/1976798101433389475","1492136123749253123",
"1976798049663168763","Fri Oct 10 23:52:36 +0000 2025","5","#140 Menghentikan MBG itu sesulit menghentikan korupsi sebab ia berpotensi jadi ladang korupsi terbesar. Dan mudah.","1976798049663168763","","","in","","0","0","4","https://x.com/undefined/status/1976798049663168763","46614875",
